model,group,branch,capped,cost,n_hallucination,n_non_hallucination,hallucination_mean_avg,non_hallucination_mean_avg,diff_avg,peak_abs_diff_layer,peak_abs_diff
qwen2_5_vl_7b,visual_raw,risk_relative_vll,0,geo,1636,554,0.3024921417236328,0.2819414734840393,0.02055070362985134,27,-0.096157968044281
qwen2_5_vl_7b,visual_raw,risk_relative_vll,0,tbar,1636,554,0.3196331560611725,0.2952935993671417,0.024339543655514717,27,-0.09998708963394165
qwen2_5_vl_7b,visual_raw,risk_relative_vll,0,sbar,1636,554,0.41507843136787415,0.381570428609848,0.03350798785686493,19,0.12719114124774933
qwen2_5_vl_7b,visual_cap085,risk_relative_vll,1,geo,1636,554,0.279691219329834,0.2648918628692627,0.014799358323216438,27,-0.10400217771530151
qwen2_5_vl_7b,visual_cap085,risk_relative_vll,1,tbar,1636,554,0.29579073190689087,0.27773159742355347,0.01805916056036949,27,-0.10909798741340637
qwen2_5_vl_7b,visual_cap085,risk_relative_vll,1,sbar,1636,554,0.3850705623626709,0.35951390862464905,0.025556644424796104,19,0.12061792612075806
qwen2_5_vl_7b,vp_raw,risk_visual_prompt_relative_vll,0,geo,1636,554,0.3490915298461914,0.32583287358283997,0.023258676752448082,27,-0.1268421709537506
qwen2_5_vl_7b,vp_raw,risk_visual_prompt_relative_vll,0,tbar,1636,554,0.36732277274131775,0.3424397110939026,0.024883074685931206,27,-0.12715938687324524
qwen2_5_vl_7b,vp_raw,risk_visual_prompt_relative_vll,0,sbar,1636,554,0.5663400888442993,0.5224750638008118,0.04386506602168083,27,-0.46192842721939087
qwen2_5_vl_7b,vp_cap085,risk_visual_prompt_relative_vll,1,geo,1636,554,0.3481321632862091,0.32546380162239075,0.02266838774085045,27,-0.12716412544250488
qwen2_5_vl_7b,vp_cap085,risk_visual_prompt_relative_vll,1,tbar,1636,554,0.3674944043159485,0.3426329493522644,0.02486145868897438,27,-0.12957867980003357
qwen2_5_vl_7b,vp_cap085,risk_visual_prompt_relative_vll,1,sbar,1636,554,0.5523477792739868,0.5132245421409607,0.039123211055994034,27,-0.46981436014175415
internvl_2_5_8b,visual_raw,risk_relative_vll,0,geo,3064,651,0.2927330732345581,0.2976005971431732,-0.0048675378784537315,8,-0.056050658226013184
internvl_2_5_8b,visual_raw,risk_relative_vll,0,tbar,3064,651,0.30374014377593994,0.3091268837451935,-0.005386741366237402,8,-0.06087148189544678
internvl_2_5_8b,visual_raw,risk_relative_vll,0,sbar,3064,651,0.3616194725036621,0.3583306074142456,0.0032888446003198624,8,-0.04994925856590271
internvl_2_5_8b,visual_cap085,risk_relative_vll,1,geo,3064,651,0.2794111967086792,0.2836742699146271,-0.004263094626367092,8,-0.05011969804763794
internvl_2_5_8b,visual_cap085,risk_relative_vll,1,tbar,3064,651,0.2903858423233032,0.2950582504272461,-0.004672432783991098,8,-0.05442032217979431
internvl_2_5_8b,visual_cap085,risk_relative_vll,1,sbar,3064,651,0.3516273498535156,0.34968194365501404,0.0019454136490821838,8,-0.045129239559173584
internvl_2_5_8b,vp_raw,risk_visual_prompt_relative_vll,0,geo,3064,651,0.5125391483306885,0.4808053970336914,0.03173372894525528,8,0.08941805362701416
internvl_2_5_8b,vp_raw,risk_visual_prompt_relative_vll,0,tbar,3064,651,0.5613499879837036,0.5233402252197266,0.038009725511074066,1,0.11266231536865234
internvl_2_5_8b,vp_raw,risk_visual_prompt_relative_vll,0,sbar,3064,651,0.7000079154968262,0.6536213159561157,0.04638659581542015,31,0.18940341472625732
internvl_2_5_8b,vp_cap085,risk_visual_prompt_relative_vll,1,geo,3064,651,0.5285292267799377,0.497898131608963,0.030631087720394135,8,0.07999873161315918
internvl_2_5_8b,vp_cap085,risk_visual_prompt_relative_vll,1,tbar,3064,651,0.5763528347015381,0.5396109819412231,0.03674180805683136,1,0.1120607852935791
internvl_2_5_8b,vp_cap085,risk_visual_prompt_relative_vll,1,sbar,3064,651,0.7266559600830078,0.6807324886322021,0.04592346400022507,31,0.17108094692230225
llava_1_5_7b,visual_raw,risk_relative_vll,0,geo,691,757,0.49629518389701843,0.47233515977859497,0.023960039019584656,22,0.0866747498512268
llava_1_5_7b,visual_raw,risk_relative_vll,0,tbar,691,757,0.5254321098327637,0.4965810477733612,0.0288511011749506,22,0.09170973300933838
llava_1_5_7b,visual_raw,risk_relative_vll,0,sbar,691,757,0.6959237456321716,0.6498777866363525,0.04604590684175491,25,0.14037096500396729
llava_1_5_7b,visual_cap085,risk_relative_vll,1,geo,691,757,0.4710390567779541,0.4563598036766052,0.014679203741252422,0,-0.07745230197906494
llava_1_5_7b,visual_cap085,risk_relative_vll,1,tbar,691,757,0.4996098577976227,0.4806174039840698,0.018992457538843155,0,-0.07784903049468994
llava_1_5_7b,visual_cap085,risk_relative_vll,1,sbar,691,757,0.6676422357559204,0.640103816986084,0.027538396418094635,25,0.11541974544525146
llava_1_5_7b,vp_raw,risk_visual_prompt_relative_vll,0,geo,691,757,0.626420259475708,0.6548691987991333,-0.02844894304871559,31,-0.04714781045913696
llava_1_5_7b,vp_raw,risk_visual_prompt_relative_vll,0,tbar,691,757,0.6591374278068542,0.6906263828277588,-0.031488899141550064,1,-0.07044613361358643
llava_1_5_7b,vp_raw,risk_visual_prompt_relative_vll,0,sbar,691,757,0.8740165829658508,0.8950532674789429,-0.021036656573414803,8,-0.10669970512390137
llava_1_5_7b,vp_cap085,risk_visual_prompt_relative_vll,1,geo,691,757,0.6269323825836182,0.6628750562667847,-0.03594265133142471,31,-0.05263173580169678
llava_1_5_7b,vp_cap085,risk_visual_prompt_relative_vll,1,tbar,691,757,0.6601136922836304,0.6985476016998291,-0.03843393176794052,31,-0.06502962112426758
llava_1_5_7b,vp_cap085,risk_visual_prompt_relative_vll,1,sbar,691,757,0.8864768743515015,0.9262658953666687,-0.03978905454277992,8,-0.15139764547348022
