model,family,best_cost,best_auc,best_f1,geo_auc,delta_auc_vs_geo,all_auc
qwen2_5_vl_7b,visual_risk_raw,tbar,0.8953038005325586,0.9067524115755627,0.8921568627450981,0.0031469377874605575,geo=0.892 / tbar=0.895 / sbar=0.870
qwen2_5_vl_7b,visual_risk_cap085,geo,0.8976034858387799,0.9050632911392406,0.8976034858387799,0.0,geo=0.898 / tbar=0.866 / sbar=0.860
qwen2_5_vl_7b,vp_risk_raw,geo,0.9264100702009199,0.9215686274509803,0.9264100702009199,0.0,geo=0.926 / tbar=0.922 / sbar=0.881
qwen2_5_vl_7b,vp_risk_cap085,tbar,0.9236262406197047,0.9171974522292994,0.9158799322198015,0.007746308399903201,geo=0.916 / tbar=0.924 / sbar=0.888
qwen2_5_vl_7b,visual_combo_raw,tbar,0.938876785282014,0.939297124600639,0.9325829097070927,0.006293875574921337,geo=0.933 / tbar=0.939 / sbar=0.917
qwen2_5_vl_7b,visual_combo_cap085,geo,0.9253207455821835,0.926984126984127,0.9253207455821835,0.0,geo=0.925 / tbar=0.916 / sbar=0.912
qwen2_5_vl_7b,vp_combo_raw,tbar,0.9462599854756718,0.9333333333333333,0.9457758412006778,0.0004841442749939917,geo=0.946 / tbar=0.946 / sbar=0.927
qwen2_5_vl_7b,vp_combo_cap085,tbar,0.9471072379569111,0.9294871794871795,0.9399661099007505,0.007141128056160628,geo=0.940 / tbar=0.947 / sbar=0.922
internvl_2_5_8b,visual_risk_raw,geo,0.8878140498119788,0.9331259720062208,0.8878140498119788,0.0,geo=0.888 / tbar=0.882 / sbar=0.858
internvl_2_5_8b,visual_risk_cap085,tbar,0.8772412665540357,0.9426356589147287,0.8700474140280124,0.0071938525260232256,geo=0.870 / tbar=0.877 / sbar=0.846
internvl_2_5_8b,vp_risk_raw,tbar,0.9429669191781569,0.9511811023622048,0.9307046705542537,0.012262248623903238,geo=0.931 / tbar=0.943 / sbar=0.920
internvl_2_5_8b,vp_risk_cap085,tbar,0.9284157174777917,0.9481946624803768,0.9213853616000871,0.007030355877704619,geo=0.921 / tbar=0.928 / sbar=0.926
internvl_2_5_8b,visual_combo_raw,geo,0.9589895907133904,0.9572107765451664,0.9589895907133904,0.0,geo=0.959 / tbar=0.947 / sbar=0.941
internvl_2_5_8b,visual_combo_cap085,geo,0.9532672080222354,0.9540412044374009,0.9532672080222354,0.0,geo=0.953 / tbar=0.951 / sbar=0.946
internvl_2_5_8b,vp_combo_raw,tbar,0.959752575072211,0.9554140127388535,0.9591530873617091,0.0005994877105018892,geo=0.959 / tbar=0.960 / sbar=0.946
internvl_2_5_8b,vp_combo_cap085,tbar,0.9525587225461878,0.9523809523809523,0.9468908387378059,0.005667883808381902,geo=0.947 / tbar=0.953 / sbar=0.940
llava_1_5_7b,visual_risk_raw,geo,0.8176470588235294,0.7464788732394366,0.8176470588235294,0.0,geo=0.818 / tbar=0.815 / sbar=0.792
llava_1_5_7b,visual_risk_cap085,tbar,0.8194117647058823,0.7412587412587412,0.7705882352941175,0.04882352941176482,geo=0.771 / tbar=0.819 / sbar=0.806
llava_1_5_7b,vp_risk_raw,sbar,0.7947058823529412,0.6716417910447762,0.775686274509804,0.019019607843137165,geo=0.776 / tbar=0.790 / sbar=0.795
llava_1_5_7b,vp_risk_cap085,tbar,0.7994117647058823,0.7552447552447552,0.7954901960784314,0.0039215686274508554,geo=0.795 / tbar=0.799 / sbar=0.789
llava_1_5_7b,visual_combo_raw,tbar,0.8525490196078431,0.7769784172661871,0.8296078431372549,0.022941176470588243,geo=0.830 / tbar=0.853 / sbar=0.841
llava_1_5_7b,visual_combo_cap085,sbar,0.8188235294117646,0.7205882352941176,0.799607843137255,0.019215686274509647,geo=0.800 / tbar=0.817 / sbar=0.819
llava_1_5_7b,vp_combo_raw,geo,0.842156862745098,0.7407407407407407,0.842156862745098,0.0,geo=0.842 / tbar=0.831 / sbar=0.835
llava_1_5_7b,vp_combo_cap085,tbar,0.831764705882353,0.7692307692307693,0.8229411764705882,0.008823529411764786,geo=0.823 / tbar=0.832 / sbar=0.824
