model,family,xgb_best_cost,xgb_best_auc,xgb_best_f1,mlp_best_cost,mlp_best_auc,mlp_best_f1,mlp_minus_xgb_auc,xgb_best_feature_set,mlp_best_feature_set
qwen2_5_vl_7b,visual_risk_raw,tbar,0.8953038005325586,0.9067524115755627,tbar,0.8967562333575406,0.8954248366013072,0.0014524328249819751,risk_relative_vll_cost_tbar,risk_relative_vll_cost_tbar
qwen2_5_vl_7b,visual_risk_cap085,geo,0.8976034858387799,0.9050632911392406,geo,0.9105543451948681,0.8888888888888888,0.012950859356088196,risk_relative_vll_cost_geo_capped_topmass_085,risk_relative_vll_cost_geo_capped_topmass_085
qwen2_5_vl_7b,vp_risk_raw,geo,0.9264100702009199,0.9215686274509803,geo,0.8865892035826677,0.9009584664536742,-0.03982086661825224,risk_visual_prompt_relative_vll_cost_geo,risk_visual_prompt_relative_vll_cost_geo
qwen2_5_vl_7b,vp_risk_cap085,tbar,0.9236262406197047,0.9171974522292994,tbar,0.8893730331638828,0.9049180327868852,-0.03425320745582183,risk_visual_prompt_relative_vll_cost_tbar_capped_topmass_085,risk_visual_prompt_relative_vll_cost_tbar_capped_topmass_085
qwen2_5_vl_7b,visual_combo_raw,tbar,0.938876785282014,0.939297124600639,tbar,0.9323408375695957,0.9137380191693291,-0.006535947712418277,risk_relative_vll_cost_tbar+target_visual_hidden_cosine_relative_vll,risk_relative_vll_cost_tbar+target_visual_hidden_cosine_relative_vll
qwen2_5_vl_7b,visual_combo_cap085,geo,0.9253207455821835,0.926984126984127,tbar,0.9260469619946744,0.9125,0.000726216412490932,risk_relative_vll_cost_geo_capped_topmass_085+target_visual_hidden_cosine_relative_vll_capped_topmass_085,risk_relative_vll_cost_tbar_capped_topmass_085+target_visual_hidden_cosine_relative_vll_capped_topmass_085
qwen2_5_vl_7b,vp_combo_raw,tbar,0.9462599854756718,0.9333333333333333,sbar,0.9400871459694989,0.9141104294478528,-0.006172839506172867,risk_visual_prompt_relative_vll_cost_tbar+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll,risk_visual_prompt_relative_vll_cost_sbar+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll
qwen2_5_vl_7b,vp_combo_cap085,tbar,0.9471072379569111,0.9294871794871795,sbar,0.9350036310820625,0.9120521172638436,-0.012103606874848571,risk_visual_prompt_relative_vll_cost_tbar_capped_topmass_085+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll_capped_topmass_085,risk_visual_prompt_relative_vll_cost_sbar_capped_topmass_085+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll_capped_topmass_085
internvl_2_5_8b,visual_risk_raw,geo,0.8878140498119788,0.9331259720062208,sbar,0.8845441168456047,0.9329073482428115,-0.0032699329663740118,risk_relative_vll_cost_geo,risk_relative_vll_cost_sbar
internvl_2_5_8b,visual_risk_cap085,tbar,0.8772412665540357,0.9426356589147287,tbar,0.8812196849964575,0.9400630914826499,0.0039784184424218605,risk_relative_vll_cost_tbar_capped_topmass_085,risk_relative_vll_cost_tbar_capped_topmass_085
