layer,v_source_v_target_geo_risk_hallucination_mean,v_source_v_target_geo_risk_hallucination_sem,v_source_v_target_geo_risk_non_hallucination_mean,v_source_v_target_geo_risk_non_hallucination_sem,v_source_v_target_geo_risk_diff_h_minus_non
0,0.46407276,0.00149510,0.44812977,0.00312615,0.01594299
1,0.37745643,0.00156117,0.38936433,0.00337977,-0.01190791
2,0.42215702,0.00157354,0.37887743,0.00367240,0.04327959
3,0.35552979,0.00141044,0.33391565,0.00301675,0.02161413
4,0.29771563,0.00138943,0.25715837,0.00302292,0.04055727
5,0.26518595,0.00115156,0.23401615,0.00243963,0.03116980
6,0.25587040,0.00118190,0.24348831,0.00277286,0.01238209
7,0.28249973,0.00123487,0.27061081,0.00286402,0.01188892
8,0.27618408,0.00114004,0.28392869,0.00283064,-0.00774461
9,0.28913322,0.00129258,0.28448120,0.00263588,0.00465202
10,0.29386982,0.00130798,0.28264925,0.00254303,0.01122057
11,0.24830987,0.00122453,0.24545845,0.00234436,0.00285141
12,0.26753113,0.00129413,0.23866703,0.00237665,0.02886410
13,0.23721839,0.00136334,0.21371418,0.00255890,0.02350421
14,0.20600781,0.00125410,0.19343822,0.00238722,0.01256959
15,0.23300281,0.00124555,0.20616795,0.00279968,0.02683486
16,0.21662803,0.00110823,0.19899088,0.00247099,0.01763715
17,0.20138025,0.00121435,0.19903548,0.00223067,0.00234477
18,0.17221597,0.00118474,0.16079901,0.00207392,0.01141696
19,0.17964762,0.00125527,0.17040266,0.00219855,0.00924496
20,0.19295080,0.00129169,0.18513346,0.00253399,0.00781734
21,0.17518693,0.00112564,0.17448558,0.00233930,0.00070135
22,0.19007058,0.00109605,0.19635528,0.00233199,-0.00628470
23,0.17333908,0.00114072,0.17380340,0.00265483,-0.00046432
24,0.22626098,0.00131637,0.24973345,0.00277476,-0.02347247
25,0.24897270,0.00145545,0.26841718,0.00309431,-0.01944448
26,0.19583479,0.00135541,0.20914088,0.00328308,-0.01330610
27,0.22321858,0.00147502,0.22842787,0.00375837,-0.00520930
28,0.25574818,0.00145805,0.23385108,0.00312412,0.02189711
29,0.25509793,0.00124205,0.26294383,0.00255326,-0.00784591
30,0.27391109,0.00113301,0.27684465,0.00229648,-0.00293356
31,0.19981450,0.00132923,0.19602892,0.00247007,0.00378558
