layer,v_source_v_target_geo_risk_hallucination_mean,v_source_v_target_geo_risk_hallucination_sem,v_source_v_target_geo_risk_non_hallucination_mean,v_source_v_target_geo_risk_non_hallucination_sem,v_source_v_target_geo_risk_diff_h_minus_non
0,0.47259608,0.00228030,0.44790435,0.00393776,0.02469173
1,0.32987514,0.00184808,0.33279803,0.00362829,-0.00292289
2,0.26284185,0.00177929,0.23689744,0.00357519,0.02594441
3,0.23957998,0.00194285,0.19735926,0.00318507,0.04222071
4,0.24635780,0.00199796,0.18741725,0.00362971,0.05894054
5,0.24227135,0.00195724,0.20480776,0.00318485,0.03746359
6,0.15609981,0.00153559,0.12456489,0.00233588,0.03153492
7,0.14889221,0.00124526,0.12222939,0.00194884,0.02666282
8,0.20264591,0.00189642,0.21191449,0.00324475,-0.00926858
9,0.30305269,0.00259283,0.32436243,0.00431619,-0.02130973
10,0.19112359,0.00171054,0.20585087,0.00261287,-0.01472728
11,0.28812873,0.00232080,0.27440506,0.00325235,0.01372367
12,0.27828330,0.00220017,0.24908549,0.00300833,0.02919781
13,0.33767310,0.00223378,0.33864209,0.00332461,-0.00096899
14,0.28365374,0.00187829,0.23777777,0.00315774,0.04587597
15,0.29099983,0.00213298,0.27053460,0.00363182,0.02046522
16,0.30290735,0.00215164,0.25906327,0.00383170,0.04384407
17,0.31316623,0.00231121,0.27001476,0.00447776,0.04315147
18,0.25671297,0.00201211,0.21395344,0.00373619,0.04275954
19,0.22756952,0.00249697,0.14714901,0.00352431,0.08042051
20,0.24534424,0.00271793,0.20446205,0.00457120,0.04088219
21,0.17202735,0.00204527,0.13684787,0.00253657,0.03517948
22,0.17047702,0.00180947,0.15745664,0.00284725,0.01302038
23,0.18831405,0.00173138,0.18181546,0.00286717,0.00649859
24,0.16337980,0.00145429,0.16076304,0.00243322,0.00261676
25,0.16035026,0.00138388,0.16685519,0.00240119,-0.00650492
26,0.18467829,0.00166746,0.19143458,0.00251030,-0.00675629
27,0.31786773,0.00283868,0.33912128,0.00504261,-0.02125356
