model,model_display,variant_id,variant,mode,source_target,feature_set,result_json,best_epoch,num_features,precision,recall,f1,accuracy,auc,aupr
qwen2_5_vl_7b,Qwen2.5-VL-7B,risk_raw,risk only / raw,V/V,"source=visual,target=visual",risk_relative_vll_cost_geo,outputs/qwen2_5_vl_7b/COCO500-visualonly-relativevll-cost-geo/results/qwen2_5_vl_7b_selected_feature_sets.json,53,28,0.9013157894736842,0.8954248366013072,0.898360655737705,0.8502415458937198,0.9086177680948923,0.96713105724147
qwen2_5_vl_7b,Qwen2.5-VL-7B,risk_raw,risk only / raw,VP/VP,"source=visual_prompt,target=visual_prompt",risk_visual_prompt_relative_vll_cost_geo,outputs/qwen2_5_vl_7b/COCO500-visualprompt-relativevll-cost-additive3/results/qwen2_5_vl_7b_selected_feature_sets.json,42,28,0.8719512195121951,0.934640522875817,0.9022082018927445,0.8502415458937198,0.877753570564028,0.9457948609935627
qwen2_5_vl_7b,Qwen2.5-VL-7B,risk_cap085,risk only / cap085,V/V,"source=visual,target=visual",risk_relative_vll_cost_geo_capped_topmass_085,outputs/qwen2_5_vl_7b/COCO500-visualonly-relativevll-cost-geo/results/qwen2_5_vl_7b_selected_feature_sets.json,49,28,0.852760736196319,0.9084967320261438,0.879746835443038,0.8164251207729468,0.8937303316388284,0.9635781901049569
qwen2_5_vl_7b,Qwen2.5-VL-7B,risk_cap085,risk only / cap085,VP/VP,"source=visual_prompt,target=visual_prompt",risk_visual_prompt_relative_vll_cost_geo_capped_topmass_085,outputs/qwen2_5_vl_7b/COCO500-visualprompt-relativevll-cost-additive3/results/qwen2_5_vl_7b_selected_feature_sets.json,55,28,0.8674698795180723,0.9411764705882353,0.9028213166144201,0.8502415458937198,0.8618978455579762,0.936500656188703
qwen2_5_vl_7b,Qwen2.5-VL-7B,risk_cos_raw,risk + cosine / raw,V/V,"source=visual,target=visual",risk_relative_vll_cost_geo+target_visual_hidden_cosine_relative_vll,outputs/qwen2_5_vl_7b/COCO500-visualonly-relativevll-cost-geo/results/qwen2_5_vl_7b_selected_feature_sets.json,21,56,0.9230769230769231,0.9411764705882353,0.9320388349514563,0.8985507246376812,0.9452916969256839,0.9798934295061239
qwen2_5_vl_7b,Qwen2.5-VL-7B,risk_cos_raw,risk + cosine / raw,VP/VP,"source=visual_prompt,target=visual_prompt",risk_visual_prompt_relative_vll_cost_geo+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll,outputs/qwen2_5_vl_7b/COCO500-visualprompt-relativevll-cost-additive3/results/qwen2_5_vl_7b_selected_feature_sets.json,57,56,0.9050632911392406,0.934640522875817,0.9196141479099679,0.8792270531400966,0.9229000242072138,0.9656449485438778
qwen2_5_vl_7b,Qwen2.5-VL-7B,risk_cos_cap085,risk + cosine / cap085,V/V,"source=visual,target=visual",risk_relative_vll_cost_geo_capped_topmass_085+target_visual_hidden_cosine_relative_vll_capped_topmass_085,outputs/qwen2_5_vl_7b/COCO500-visualonly-relativevll-cost-geo/results/qwen2_5_vl_7b_selected_feature_sets.json,64,56,0.9225806451612903,0.934640522875817,0.9285714285714286,0.893719806763285,0.9521907528443476,0.98367488161417
qwen2_5_vl_7b,Qwen2.5-VL-7B,risk_cos_cap085,risk + cosine / cap085,VP/VP,"source=visual_prompt,target=visual_prompt",risk_visual_prompt_relative_vll_cost_geo_capped_topmass_085+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll_capped_topmass_085,outputs/qwen2_5_vl_7b/COCO500-visualprompt-relativevll-cost-additive3/results/qwen2_5_vl_7b_selected_feature_sets.json,57,56,0.9,0.9411764705882353,0.9201277955271565,0.8792270531400966,0.9189058339385137,0.9632435236335656
internvl_2_5_8b,InternVL2.5-8B,risk_raw,risk only / raw,V/V,"source=visual,target=visual",risk_relative_vll_cost_geo,outputs/internvl_2_5_8b/COCO500-visualonly-relativevll-cost-geo/results/internvl_2_5_8b_selected_feature_sets.json,81,32,0.8830409356725146,0.9710610932475884,0.9249617151607963,0.8675675675675676,0.8399640307373699,0.9578771873990877
internvl_2_5_8b,InternVL2.5-8B,risk_raw,risk only / raw,VP/VP,"source=visual_prompt,target=visual_prompt",risk_visual_prompt_relative_vll_cost_geo,outputs/internvl_2_5_8b/COCO500-visualprompt-relativevll-cost-additive3/results/internvl_2_5_8b_selected_feature_sets.json,95,32,0.946875,0.9742765273311897,0.9603803486529319,0.9324324324324325,0.9374625320180936,0.9866346200947912
internvl_2_5_8b,InternVL2.5-8B,risk_cap085,risk only / cap085,V/V,"source=visual,target=visual",risk_relative_vll_cost_geo_capped_topmass_085,outputs/internvl_2_5_8b/COCO500-visualonly-relativevll-cost-geo/results/internvl_2_5_8b_selected_feature_sets.json,81,32,0.888235294117647,0.9710610932475884,0.9278033794162827,0.8729729729729729,0.8480298653877595,0.9614412746997046
internvl_2_5_8b,InternVL2.5-8B,risk_cap085,risk only / cap085,VP/VP,"source=visual_prompt,target=visual_prompt",risk_visual_prompt_relative_vll_cost_geo_capped_topmass_085,outputs/internvl_2_5_8b/COCO500-visualprompt-relativevll-cost-additive3/results/internvl_2_5_8b_selected_feature_sets.json,95,32,0.941358024691358,0.9807073954983923,0.9606299212598425,0.9324324324324325,0.9414954493432884,0.9874159038032738
internvl_2_5_8b,InternVL2.5-8B,risk_cos_raw,risk + cosine / raw,V/V,"source=visual,target=visual",risk_relative_vll_cost_geo+target_visual_hidden_cosine_relative_vll,outputs/internvl_2_5_8b/COCO500-visualonly-relativevll-cost-geo/results/internvl_2_5_8b_selected_feature_sets.json,24,64,0.9339622641509434,0.954983922829582,0.9443561208267091,0.9054054054054054,0.9416044471088343,0.9824232277941829
internvl_2_5_8b,InternVL2.5-8B,risk_cos_raw,risk + cosine / raw,VP/VP,"source=visual_prompt,target=visual_prompt",risk_visual_prompt_relative_vll_cost_geo+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll,outputs/internvl_2_5_8b/COCO500-visualprompt-relativevll-cost-additive3/results/internvl_2_5_8b_selected_feature_sets.json,28,64,0.9529780564263323,0.977491961414791,0.9650793650793651,0.9405405405405406,0.95185023707014,0.9870202085451014
internvl_2_5_8b,InternVL2.5-8B,risk_cos_cap085,risk + cosine / cap085,V/V,"source=visual,target=visual",risk_relative_vll_cost_geo_capped_topmass_085+target_visual_hidden_cosine_relative_vll_capped_topmass_085,outputs/internvl_2_5_8b/COCO500-visualonly-relativevll-cost-geo/results/internvl_2_5_8b_selected_feature_sets.json,85,64,0.9371069182389937,0.9581993569131833,0.9475357710651828,0.9108108108108108,0.935555071121042,0.9812241576977507
internvl_2_5_8b,InternVL2.5-8B,risk_cos_cap085,risk + cosine / cap085,VP/VP,"source=visual_prompt,target=visual_prompt",risk_visual_prompt_relative_vll_cost_geo_capped_topmass_085+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll_capped_topmass_085,outputs/internvl_2_5_8b/COCO500-visualprompt-relativevll-cost-additive3/results/internvl_2_5_8b_selected_feature_sets.json,33,64,0.9501557632398754,0.9807073954983923,0.9651898734177216,0.9405405405405406,0.938934001852962,0.9832974317123953
llava_1_5_7b,LLaVA-1.5-7B,risk_raw,risk only / raw,V/V,"source=visual,target=visual",risk_relative_vll_cost_geo,outputs/llava_1_5_7b/COCO500-visualonly-relativevll-cost-geo/results/llava_1_5_7b_selected_feature_sets.json,83,32,0.6533333333333333,0.7205882352941176,0.6853146853146853,0.6853146853146853,0.7619607843137255,0.7175674626846715
llava_1_5_7b,LLaVA-1.5-7B,risk_raw,risk only / raw,VP/VP,"source=visual_prompt,target=visual_prompt",risk_visual_prompt_relative_vll_cost_geo,outputs/llava_1_5_7b/COCO500-visualprompt-relativevll-cost-additive3/results/llava_1_5_7b_selected_feature_sets.json,94,32,0.7121212121212122,0.6911764705882353,0.7014925373134329,0.7202797202797203,0.7809803921568628,0.7590668250892975
llava_1_5_7b,LLaVA-1.5-7B,risk_cap085,risk only / cap085,V/V,"source=visual,target=visual",risk_relative_vll_cost_geo_capped_topmass_085,outputs/llava_1_5_7b/COCO500-visualonly-relativevll-cost-geo/results/llava_1_5_7b_selected_feature_sets.json,96,32,0.6493506493506493,0.7352941176470589,0.6896551724137931,0.6853146853146853,0.7737254901960784,0.7326735520004322
llava_1_5_7b,LLaVA-1.5-7B,risk_cap085,risk only / cap085,VP/VP,"source=visual_prompt,target=visual_prompt",risk_visual_prompt_relative_vll_cost_geo_capped_topmass_085,outputs/llava_1_5_7b/COCO500-visualprompt-relativevll-cost-additive3/results/llava_1_5_7b_selected_feature_sets.json,96,32,0.6428571428571429,0.7941176470588235,0.7105263157894737,0.6923076923076923,0.7633333333333333,0.7111536100030394
llava_1_5_7b,LLaVA-1.5-7B,risk_cos_raw,risk + cosine / raw,V/V,"source=visual,target=visual",risk_relative_vll_cost_geo+target_visual_hidden_cosine_relative_vll,outputs/llava_1_5_7b/COCO500-visualonly-relativevll-cost-geo/results/llava_1_5_7b_selected_feature_sets.json,23,64,0.68,0.75,0.7132867132867133,0.7132867132867133,0.8272549019607844,0.7820425758633471
llava_1_5_7b,LLaVA-1.5-7B,risk_cos_raw,risk + cosine / raw,VP/VP,"source=visual_prompt,target=visual_prompt",risk_visual_prompt_relative_vll_cost_geo+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll,outputs/llava_1_5_7b/COCO500-visualprompt-relativevll-cost-additive3/results/llava_1_5_7b_selected_feature_sets.json,58,64,0.7333333333333333,0.8088235294117647,0.7692307692307693,0.7692307692307693,0.843921568627451,0.8440740224176079
llava_1_5_7b,LLaVA-1.5-7B,risk_cos_cap085,risk + cosine / cap085,V/V,"source=visual,target=visual",risk_relative_vll_cost_geo_capped_topmass_085+target_visual_hidden_cosine_relative_vll_capped_topmass_085,outputs/llava_1_5_7b/COCO500-visualonly-relativevll-cost-geo/results/llava_1_5_7b_selected_feature_sets.json,16,64,0.7105263157894737,0.7941176470588235,0.75,0.7482517482517482,0.8168627450980392,0.7823822609605587
llava_1_5_7b,LLaVA-1.5-7B,risk_cos_cap085,risk + cosine / cap085,VP/VP,"source=visual_prompt,target=visual_prompt",risk_visual_prompt_relative_vll_cost_geo_capped_topmass_085+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll_capped_topmass_085,outputs/llava_1_5_7b/COCO500-visualprompt-relativevll-cost-additive3/results/llava_1_5_7b_selected_feature_sets.json,44,64,0.6923076923076923,0.7941176470588235,0.7397260273972602,0.7342657342657343,0.8296078431372549,0.8136391027227579
